guba_name,postnums,readnum,replynum,post_id,create_time,author_url,content,title,reply_author,reply_author_url,reply_time,reply_content,tag,reply_quote_author,reply_quote_author_url,reply_quote_content,reply_quote_time
螺纹钢吧,24817,903,1,"news,fshferb,665296979",2017-07-03T22:01:45Z,http://iguba.eastmoney.com/8902094409244754,疯了！,疯了！,股友oHIPu9,http://iguba.eastmoney.com/6636024987223162,2017-07-03T22:05:56Z,提起永安，空头无不痛恨，八连阳了，爆仓无数，必须联合起来，让永安一天吃个跌停，让它见识一下空头的厉害,1,,,,
螺纹钢吧,24817,1482,2,"news,fshferb,658760309",2017-06-21T18:00:43Z,http://iguba.eastmoney.com/4816034877355234,,明天一定3130以上哈哈,股友xfioSe,http://iguba.eastmoney.com/4816034877355234,2017-06-21T19:54:20Z,"1801的 肯定2960以上<img src=""""http://gbres.dfcfw.com/face/emot/emot02.png"""" title=""""大笑""""> 反正每天 猜猜价格 才对赚 猜错也亏不大",1,,,,
螺纹钢吧,24817,1482,2,"news,fshferb,658760309",2017-06-21T18:00:43Z,http://iguba.eastmoney.com/4816034877355234,,明天一定3130以上哈哈,qftt9981,http://iguba.eastmoney.com/6006112880073614,2017-06-22T10:47:57Z,"小心“黑色星期五”？？<br>Beware of black Friday?<br>排练，没空炒了。+ 崩盘 + 连续跌停 + 危机随时可能降临！+ 明天早上各路机构狂抛就跌停。<br>Rehearsal, no time to fry. + Crash + continuous limit + crisis may come at any time! + tomorrow morning, the various agencies crazy throwing limit.",1,,,,
螺纹钢吧,24817,2173,2,"news,fshferb,659288613",2017-06-22T15:33:51Z,http://iguba.eastmoney.com/6619004969011206,不管某大集团到低是因为什么被沽空，数十在建的工程必然受到影响，预计也会波及到建材行业，大家好自为之吧,不管某大集团到低是因为什么被沽空，数十在建的工程必然受到影响，预计也会波及到建材,大老KE,http://iguba.eastmoney.com/6619004969011206,2017-06-22T15:40:09Z,你们都不怕庄家借势造空吗,1,,,,
螺纹钢吧,24817,2173,2,"news,fshferb,659288613",2017-06-22T15:33:51Z,http://iguba.eastmoney.com/6619004969011206,不管某大集团到低是因为什么被沽空，数十在建的工程必然受到影响，预计也会波及到建材行业，大家好自为之吧,不管某大集团到低是因为什么被沽空，数十在建的工程必然受到影响，预计也会波及到建材,股友SwU6L1,http://iguba.eastmoney.com/9920024938998634,2017-06-22T16:03:22Z,一二线城市房价走跌，限购、限售、限贷，它还有什么收入来源？被沽空是正常的，沽空只是使其市值缩水，建材行业已经跟随房地产在萎缩，沽空消息应该对建材行业影响不大。但对市场是个利空消息。,1,,,,
螺纹钢吧,24817,2153,6,"news,fshferb,659993928",2017-06-23T21:36:43Z,http://iguba.eastmoney.com/8570094300636232,,东京上空，集结完毕。,写在心扉,http://iguba.eastmoney.com/5416094326230096,2017-06-23T21:39:55Z,确定吗？<br>我下午就空了！再不下我就爆仓了,1,,,,
螺纹钢吧,24817,2153,6,"news,fshferb,659993928",2017-06-23T21:36:43Z,http://iguba.eastmoney.com/8570094300636232,,东京上空，集结完毕。,牛虻虻,http://iguba.eastmoney.com/7596013841072120,2017-06-23T21:43:18Z,铁矿石被空头占领,1,,,,
螺纹钢吧,24817,2153,6,"news,fshferb,659993928",2017-06-23T21:36:43Z,http://iguba.eastmoney.com/8570094300636232,,东京上空，集结完毕。,o拾年壹劍o,http://iguba.eastmoney.com/8570094300636232,2017-06-23T21:44:51Z,无论如何，降低仓位是应该的。,1,写在心扉,http://iguba.eastmoney.com/5416094326230096,确定吗？<br>我下午就空了！再不下我就爆仓了,2017-06-23T21:39:55Z
螺纹钢吧,24817,2153,6,"news,fshferb,659993928",2017-06-23T21:36:43Z,http://iguba.eastmoney.com/8570094300636232,,东京上空，集结完毕。,zuszhang,http://iguba.eastmoney.com/2813113789070838,2017-06-23T21:52:06Z,铁矿石跌就对了，铁矿石跌说明钢铁产能被限制，钢铁产能被限制，螺纹现货价格就只会窄幅波动跌不下去,1,牛虻虻,http://iguba.eastmoney.com/7596013841072120,铁矿石被空头占领,2017-06-23T21:43:18Z
螺纹钢吧,24817,2153,6,"news,fshferb,659993928",2017-06-23T21:36:43Z,http://iguba.eastmoney.com/8570094300636232,,东京上空，集结完毕。,o拾年壹劍o,http://iguba.eastmoney.com/8570094300636232,2017-06-23T21:59:44Z,反过来，价格上升又会成为增产的动力。,1,zuszhang,http://iguba.eastmoney.com/2813113789070838,铁矿石跌就对了，铁矿石跌说明钢铁产能被限制，钢铁产能被限制，螺纹现货价格就只会窄幅波动跌不下去,2017-06-23T21:52:06Z
螺纹钢吧,24817,2153,6,"news,fshferb,659993928",2017-06-23T21:36:43Z,http://iguba.eastmoney.com/8570094300636232,,东京上空，集结完毕。,zuszhang,http://iguba.eastmoney.com/2813113789070838,2017-06-23T22:17:45Z,钢铁厂倒是现在就想增加产能，但是现在地方政府减产能的任务很重，你百度下钢铁产能，满屏都是地方政府要完成多少减产能任务的新闻。所以现在做多钢铁是政治正确，控制好仓位稳赚不赔，做空铁矿石也一样，去产能任务完成前空铁矿石稳赚不赔,1,o拾年壹劍o,http://iguba.eastmoney.com/8570094300636232,反过来，价格上升又会成为增产的动力。,2017-06-23T21:59:44Z
